,PC1,PC2,PC3
Power_Consumption,0.06184753773399752,0.17700416552938988,0.9673553822836953
Dew Point Temperature_P39,0.6535271228766659,0.5537558411874773,-0.13310306306901545
Relative Humidity_P6,-0.5489522663110133,0.6640457591741612,-0.16202916336460868
Wind Speed_P4,0.7167790880254863,-0.3642094671750852,-0.05821747522830524
Price,-0.6749827325734665,-0.3744472391570632,0.02971823325630973
