,PC1,PC2,PC3
Power_Consumption,-0.040398562054173526,0.9446888777997702,0.29241167317087957
Dew Point Temperature_P39,0.5082154857466601,-0.1378972345131285,0.7091735578676615
Relative Humidity_P6,0.8491316593814148,-0.0027348416967747746,-0.011777309115203374
Wind Speed_P4,-0.7769518355454018,-0.10907175936732082,0.3771513178429873
Price,0.09256772060902489,0.27897758661993083,-0.4922998865922469
