,PC1,PC2,PC3
Power_Consumption,0.017557773949355843,-0.0816160564847253,0.9961807869475146
Dew Point Temperature_P39,0.24690843427602005,0.6590881029048932,0.07218077538921422
Relative Humidity_P6,-0.7675539351478962,0.5168055879146446,0.03843492136041179
Wind Speed_P4,0.8644635831112505,-0.11200687098644829,-0.017309175595118492
Price,-0.50482838942364,-0.6580466063879664,-0.018127482484283516
