,PC1,PC2,PC3
Power_Consumption,-0.04544723423867043,-0.04412396427891959,0.9945724746484307
Dew Point Temperature_P39,0.5185972453926365,0.7249509746684322,0.06659918909906377
Relative Humidity_P6,0.8281417933026477,0.15886738417496601,0.02295362722364963
Wind Speed_P4,-0.7196244810687658,0.5129106607035774,0.03211222242000393
Price,0.2907982606904827,-0.48289333883550917,0.050764731393639705
